Date,AAPL,MSFT,SPY
2019-11-08,62.9794,139.145,284.146
2019-11-11,63.4792,139.282,283.609
2019-11-12,63.4198,140.189,284.2
2019-11-13,64.03,140.425,284.297
2019-11-14,63.5875,141.138,284.689
2019-11-15,64.3383,142.956,286.749
2019-11-18,64.6667,143.316,286.968
2019-11-19,64.4696,143.355,286.882
2019-11-20,63.7214,143.112,285.838
2019-11-21,63.4318,142.975,285.36
2019-11-22,63.3766,143.083,286.011
2019-11-25,64.4881,144.665,288.222
2019-11-26,63.9855,145.416,288.872
2019-11-27,64.8461,145.69,290.175
2019-11-29,64.7028,144.81,289.074
2019-12-02,63.9542,143.044,286.633
2019-12-03,62.8158,142.807,284.689
2019-12-04,63.3698,143.325,286.471
2019-12-05,64.297,143.404,286.968
2019-12-06,65.5406,145.142,289.59
2019-12-09,64.6213,144.793,288.692
2019-12-10,64.9997,144.566,288.366
2019-12-11,65.5555,145.104,289.178
2019-12-12,65.722,146.559,291.678
2019-12-13,66.6169,147.809,291.86
2019-12-16,67.7571,148.786,293.849
2019-12-17,67.8873,147.966,293.916
2019-12-18,67.7284,147.652,293.936
2019-12-19,67.7945,148.953,295.152
2019-12-20,67.6557,150.544,296.435
2019-12-23,68.7594,150.544,296.894
2019-12-24,68.8225,150.514,296.904
2019-12-26,70.1874,151.776,298.482
2019-12-27,70.1597,152.048,298.405
2019-12-30,70.5778,150.72,296.759
2019-12-31,71.0911,150.829,297.478
2020-01-02,72.7161,153.613,300.272
2020-01-03,72.0115,151.726,297.994
2020-01-06,72.5811,152.118,299.123
2020-01-07,72.2432,150.71,298.29
2020-01-08,73.4042,153.142,299.871
2020-01-09,74.966,155.028,301.899
2020-01-10,75.1306,154.304,301.039
2020-01-13,76.739,156.19,303.113
2020-01-14,75.7013,155.068,302.645
2020-01-15,75.3751,156.093,303.344
2020-01-16,76.3201,158.934,305.852
2020-01-17,77.1667,159.833,306.8
2020-01-21,76.6433,159.257,306.207
2020-01-22,76.9164,158.476,306.243
2020-01-23,77.2859,159.471,306.609
2020-01-24,77.0633,157.84,303.851
2020-01-27,74.7995,155.213,298.988
2020-01-28,76.9144,158.251,302.119
2020-01-29,78.5236,160.722,301.87
2020-01-30,78.4093,165.265,302.865
2020-01-31,74.9374,162.823,297.351
2020-02-03,74.7295,166.796,299.553
2020-02-04,77.1962,172.286,304.128
2020-02-05,77.822,172.071,307.653
2020-02-06,78.7356,175.627,308.685
2020-02-07,77.6654,175.88,307.03
2020-02-10,78.0331,180.491,309.347
2020-02-11,77.5658,176.418,309.863
2020-02-12,79.4046,176.681,311.872
2020-02-13,78.839,175.705,311.537
2020-02-14,78.8588,177.296,312.045
2020-02-18,77.4159,179.066,311.231
2020-02-19,78.5356,179.613,312.697
2020-02-20,77.7323,176.887,311.432
2020-02-21,75.9703,171.28,308.206
2020-02-24,72.3623,163.907,298.003
2020-02-25,69.9095,161.199,288.969
2020-02-26,71.02,163.204,287.906
2020-02-27,66.3774,151.716,274.985
2020-02-28,66.3379,155.378,273.828
2020-03-02,72.5121,165.722,285.687
2020-03-03,70.212,157.762,277.494
2020-03-04,73.4691,163.575,289.159
2020-03-05,71.0831,159.471,279.56
2020-03-06,70.1399,154.958,274.939
2020-03-09,64.5918,144.467,253.442
2020-03-10,69.2462,154.324,266.562
2020-03-11,66.8425,147.34,253.565
2020-03-12,60.2408,133.373,229.321
2020-03-13,67.4575,152.341,248.923
2020-03-16,58.7802,129.875,221.675
2020-03-17,61.3661,140.583,233.657
2020-03-18,59.8614,134.663,221.817
2020-03-19,59.4021,136.858,222.297
2020-03-20,55.6315,131.732,212.706
2020-03-23,54.4507,130.413,207.27
2020-03-24,59.9116,142.261,226.049
2020-03-25,59.5843,140.914,229.446
2020-03-26,62.7172,149.715,242.837
2020-03-27,60.1225,143.579,235.601
2020-03-30,61.8371,153.651,243.268
2020-03-31,61.709,151.258,239.64
2020-04-01,58.4657,145.876,228.856
2020-04-02,59.4393,148.923,234.128
2020-04-03,58.5871,147.537,230.748
2020-04-06,63.6968,158.495,246.252
2020-04-07,62.9579,156.825,246.491
2020-04-08,64.5679,158.358,254.781
2020-04-09,65.0373,158.367,258.638
2020-04-13,66.3125,158.729,256.283
2020-04-14,69.6621,166.593,263.836
2020-04-15,69.0254,164.853,258.244
2020-04-16,69.5754,169.806,259.48
2020-04-17,68.6291,171.289,266.478
2020-04-20,67.2031,167.893,261.785
2020-04-21,65.1298,160.957,253.844
2020-04-22,67.0023,166.416,259.48
2020-04-23,66.7451,164.404,259.461
2020-04-24,68.6717,167.424,263.086
2020-04-27,68.7209,166.936,266.867
2020-04-28,67.6062,162.861,265.644
2020-04-29,69.8247,170.188,272.602
2020-04-30,71.299,171.878,270.067
2020-05-01,70.1499,167.444,262.917
